SampleID,Date,Timepoint,TotalColiforms_MPN,Ecoli_MPN,nitrate
GWQ_096,3/30/19,Florence_2_March2019,,23.79,NA
GWQ_098,4/6/19,Florence_2_March2019,,,0.019
GWQ_099,4/6/19,Florence_2_March2019,,,0.006
GWQ_100,3/30/19,Florence_2_March2019,,,0.01
GWQ_A001,12/8/18,Florence_1_Dec2018,,,0.008
GWQ_A002,12/8/18,Florence_1_Dec2018,,,0.007
GWQ_A003,12/8/18,Florence_1_Dec2018,1,0,0.006
GWQ_A004,12/8/18,Florence_1_Dec2018,228.2,0,0.003
GWQ_A005,12/8/18,Florence_1_Dec2018,,,0.004
GWQ_A006,12/8/18,Florence_1_Dec2018,,,0.006
GWQ_A007A,12/8/18,Florence_1_Dec2018,,,0.012
GWQ_A007B,12/8/18,Florence_1_Dec2018,,,0.012
GWQ_014,3/30/19,Florence_1_Dec2018,,,
GWQ_039,12/8/18,Florence_1_Dec2018,,,0.006
GWQ_048,12/8/18,Florence_1_Dec2018,5.2,3.1,0.029
GWQ_048B,12/8/18,Florence_1_Dec2018,,,0.009
GWQ_055,12/8/18,Florence_1_Dec2018,,,0.007
GWQ_073,12/8/18,Florence_1_Dec2018,,,7.766
GWQ_093A,12/8/18,Florence_1_Dec2018,,,0.029
GWQ_93B,12/8/18,Florence_1_Dec2018,,,2.857
GWQ_114,12/8/18,Florence_1_Dec2018,,,0.01
GWQ_115,12/8/18,Florence_1_Dec2018,1413.6,0,2.815
GWQ_128,12/8/18,Florence_1_Dec2018,,,5.295
GWQ_139,12/8/18,Florence_1_Dec2018,,,0.008
GWQ_168,12/8/18,Florence_1_Dec2018,,,14.801
GWQ_191,12/8/18,Florence_1_Dec2018,,,0.017
GWQ_281,12/8/18,Florence_1_Dec2018,,,0.009
GWQ_260,12/8/18,Florence_1_Dec2018,1,0,0.138
GWQ_007,12/6/18,Florence_1_Dec2018,,,0.015
GWQ_029,12/6/18,Florence_1_Dec2018,,,0.008
GWQ_037,12/6/18,Florence_1_Dec2018,,,0.005
GWQ_040,12/6/18,Florence_1_Dec2018,,,0.006
GWQ_044,12/6/18,Florence_1_Dec2018,,,0.01
GWQ_045,12/6/18,Florence_1_Dec2018,,,0.009
GWQ_047,12/6/18,Florence_1_Dec2018,,,0.011
GWQ_059,12/6/18,Florence_1_Dec2018,,,0.008
GWQ_076,12/6/18,Florence_1_Dec2018,7.5,,0.022
GWQ_103,12/6/18,Florence_1_Dec2018,,,0.009
GWQ_118,12/6/18,Florence_1_Dec2018,,,0.011
GWQ_186,12/6/18,Florence_1_Dec2018,,,0.012
GWQ_187,12/6/18,Florence_1_Dec2018,,,0.01
GWQ_195,12/6/18,Florence_1_Dec2018,,,0.006
GWQ_222A,12/6/18,Florence_1_Dec2018,,,0.005
GWQ_222B,12/6/18,Florence_1_Dec2018,,,0.005
GWQ_247,12/6/18,Florence_1_Dec2018,,,0.008
GWQ_262,12/6/18,Florence_1_Dec2018,,,0.008
GWQ_265,12/6/18,Florence_1_Dec2018,,,0.012
GWQ_268A well,12/6/18,Florence_1_Dec2018,,,NA
GWQ_268B well,12/6/18,Florence_1_Dec2018,,,NA
GWQ_268A sink,12/6/18,Florence_1_Dec2018,,,0.008
GWQ_268B sink,12/6/18,Florence_1_Dec2018,,,0.008
GWQ_296,12/6/18,Florence_1_Dec2018,,,0.011
GWQ_303,12/8/18,Florence_1_Dec2018,,,0.023
GWQ_337,12/6/18,Florence_1_Dec2018,,,0.009
NCGWQ_2001,8/11/19,Florence_3_Aug2019,0,,0.001
NCGWQ_2002,8/11/19,Florence_3_Aug2019,0,,0.003
NCGWQ_2003,8/11/19,Florence_3_Aug2019,0,,0.002
NCGWQ_2004,8/11/19,Florence_3_Aug2019,72419.6,0,0.448
NCGWQ_2005,8/11/19,Florence_3_Aug2019,0,,0.005
NCGWQ_304,8/11/19,Florence_3_Aug2019,0,,0.003
NCGWQ_016 R2,8/11/19,Florence_3_Aug2019,0,,0.002
NCGWQ_A005 R2,8/11/19,Florence_3_Aug2019,0,,0.004
NCGWQ_339,8/12/19,Florence_3_Aug2019,0,,0.002
NCGWQ_338,8/12/19,Florence_3_Aug2019,0,,0.004
NCGWQ_004 R2,8/11/19,Florence_3_Aug2019,0,,0.004
NCGWQ_100 R2,8/11/19,Florence_3_Aug2019,0,,0
NCGWQ_028 R2,8/11/19,Florence_3_Aug2019,0,,0.002
NCGWQ_069 R2,8/11/19,Florence_3_Aug2019,0,,0
NCGWQ_301,9/2/19,Florence_4_Sept2019,0,,0
NCGWQ_302,9/2/19,Florence_4_Sept2019,25.9,0,0.004
NCGWQ_303,9/2/19,Florence_4_Sept2019,0,,0
NCGWQ_304,9/2/19,Florence_4_Sept2019,4.1,0,0.002
NCGWQ_305,9/2/19,Florence_4_Sept2019,0,,0.004
NCGWQ_306,9/2/19,Florence_4_Sept2019,0,,0
NCGWQ_307,9/2/19,Florence_4_Sept2019,25.6,0,0
NCGWQ_308,9/2/19,Florence_4_Sept2019,0,,0.002
NCGWQ_309,9/2/19,Florence_4_Sept2019,0,,0.001
NCGWQ_310,9/2/19,Florence_4_Sept2019,0,,0
NCGWQ_311,9/2/19,Florence_4_Sept2019,88.4,0,0.003
NCGWQ_312,9/2/19,Florence_4_Sept2019,0,,0.03
NCGWQ_313,9/2/19,Florence_4_Sept2019,0,,0
NCGWQ_314,9/2/19,Florence_4_Sept2019,0,,0
NCGWQ_400,9/14/19,Florence_4_Sept2019,0,,0
NCGWQ_401,9/14/19,Florence_4_Sept2019,0,,0
NCGWQ_402,9/14/19,Florence_4_Sept2019,0,,0
NCGWQ_403,9/14/19,Florence_4_Sept2019,0,,0.507
NCGWQ_404,9/14/19,Florence_4_Sept2019,0,,0
NCGWQ_405,9/14/19,Florence_4_Sept2019,204.6,0,0.009
NCGWQ_450,9/15/19,Florence_4_Sept2019,0,,0.001
NCGWQ_451,9/15/19,Florence_4_Sept2019,0,,0
NCGWQ_452,9/15/19,Florence_4_Sept2019,0,,0
NCGWQ_453,9/15/19,Florence_4_Sept2019,1,0,0.002
NCGWQ_CS01,9/22/19,Florence_4_Sept2019,0,,7.251
NCGWQ_CS02,9/22/19,Florence_4_Sept2019,0,,0.329
NCGWQ_CS03,9/22/19,Florence_4_Sept2019,0,,1.066
NCGWQ_CS04,9/30/19,Florence_4_Sept2019,0,,1.71
NCGWQ_CS05,9/30/19,Florence_4_Sept2019,0,,7.863
NCGWQ_CS06,9/30/19,Florence_4_Sept2019,0,,5.777
bacterial_mock,Practice,Practice,NA,NA,NA
NCGWQ_practice1,Practice,Practice,NA,NA,NA
NCGWQ_practice2,Practice,Practice,NA,NA,NA
NCGWQ_practice3,Practice,Practice,NA,NA,NA
